PWSID,System_Name,System_Type,County,Population_Served,Uses_SW_Purchased,Uses_SW_Produced,Uses_SW,Uses_GW,Dominant_Source
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,C,ALAMEDA  ,524,NO,YES,YES,NO,surface water
CA0105010,EBRPD - DEL VALLE REGIONAL PARK,NC,ALAMEDA  ,9024,NO,YES,YES,NO,surface water
CA0110005,EAST BAY MUD,C,ALAMEDA  ,1430200,NO,YES,YES,NO,surface water
CA0110010,ZONE 7 WATER AGENCY,C,ALAMEDA  ,40,NO,YES,YES,YES,surface water
CA0110650,USBR-SLDMWA - CVP JONES PUMPING PLANT,NTNC,ALAMEDA  ,90,NO,YES,YES,NO,surface water
CA0202504,MARKLEEVILLE WATER CO.,C,ALPINE  ,25,MAYBE,YES,YES,YES,surface water dominant
CA0210001,LAKE ALPINE WATER COMPANY,C,ALPINE  ,625,NO,YES,YES,NO,surface water
CA0210300,CA STATE PARKS - GROVER HOT SPRINGS,NC,ALPINE  ,1006,NO,YES,YES,NO,surface water
CA0300016,VOLCANO COMMUNITY SERVICE DIST,C,AMADOR  ,103,NO,YES,YES,YES,surface water
CA0300037,JACKSON VALLEY IRRIGATION DISTRICT,C,AMADOR  ,3553,NO,YES,YES,NO,surface water
CA0300073,AWA - TIGER CREEK POWERHOUSE,NTNC,AMADOR  ,32,NO,YES,YES,NO,surface water
CA0301038,PARDEE RECREATION AREA,NTNC,AMADOR  ,440,NO,YES,YES,NO,surface water
CA0310002,"AWA, IONE",C,AMADOR  ,7227,NO,YES,YES,NO,surface water
CA0310003,"AWA, TANNER",C,AMADOR  ,4940,NO,YES,YES,NO,surface water
CA0310012,AWA BUCKHORN PLANT,C,AMADOR  ,8791,NO,YES,YES,NO,surface water
CA0405001,DEL ORO WATER CO.-LIME SADDLE MARINA,C,BUTTE  ,868,MAYBE,YES,YES,YES,balanced portfolio
CA0410006,SOUTH FEATHER W&P - MINERS RANCH,C,BUTTE  ,22727,NO,YES,YES,NO,surface water
CA0410007,PARADISE IRRIGATION DISTRICT,C,BUTTE  ,6518,NO,YES,YES,NO,surface water
CA0410008,THERMALITO WATER & SEWER DIST,C,BUTTE  ,12136,NO,YES,YES,YES,surface water
CA0410012,SOUTH FEATHER W&P - BANGOR,C,BUTTE  ,76,NO,YES,YES,NO,surface water
CA0410018,DEL ORO WATER CO.-STIRLING BLUFFS,C,BUTTE  ,518,NO,YES,YES,NO,surface water
CA0500027,LILI VALLEY WATER CO.,C,CALAVERAS  ,99,NO,YES,YES,YES,groundwater
CA0500053,PARDEE CENTER,NTNC,CALAVERAS  ,55,NO,YES,YES,NO,surface water
